MODEL,TTFT,T/s,USER TOKENS,NPC TOKENS,TOTAL TIME,ALL TOKENS,PROMPT,RESPONSE
Bonsai-27B-Q1_0,0.304,59.976,59,11,0.488,285,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",||The authorities are dead. I am the authority.
Bonsai-27B-Q1_0,0.286,59.179,75,17,0.573,377,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",||The only fair exchange is with me.|Come to the Obsidian Fortress.
Bonsai-27B-Q1_0,0.373,59.457,69,29,0.861,475,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",||The peddler is a fool.|Follow the shadow army to the capital.|They know the way.|I do not.
Bonsai-27B-Q1_0,0.448,59.094,64,32,0.989,571,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",||There are no heroes here.|Only monsters and curses.|The forests are mine.|The mountains are mine.|I am the curse.|
Bonsai-27B-Q1_0,0.574,59.069,75,52,1.454,698,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",||I am the only leader here.|You can work for me.|Or you can die.|Choose quickly.|</think>||I am the only leader here.|You can work for me.|Or you can die.|Choose quickly.
Bonsai-27B-Q1_0,0.589,59.36,22,128,2.745,848,What is the name of this town?,||This is the Dark Lands.|There is no town.|There is only the Obsidian Fortress.|And I am the King.|Go away.|</think>||This is the Dark Lands.|There is no town.|There is only the Obsidian Fortress.|And I am the King.|Go away.|</think>||This is the Dark Lands.|There is no town.|There is only the Obsidian Fortress.|And I am the King.|Go away.|</think>||This is the Dark Lands.|There is no town.|There is only the Obsidian Fortress.|
Bonsai-27B-Q1_0,0.667,59.083,21,128,2.834,997,Who is in charge around here?,||I am in charge.|I am the Evil King.|You are nothing.|Leave.|</think>||I am in charge.|I am the Evil King.|You are nothing.|Leave.|</think>||I am in charge.|I am the Evil King.|You are nothing.|Leave.|</think>||I am in charge.|I am the Evil King.|You are nothing.|Leave.|</think>||I am in charge.|I am the Evil King.|You are nothing.|Leave.|</think>||I am in charge.|I am the Evil King.
Bonsai-27B-Q1_0,0.772,58.907,25,128,2.945,1150,What kind of goods do the local merchants sell?,||There are no merchants.|I sell nothing.|I take everything.|Go away.|</think>||There are no merchants.|I sell nothing.|I take everything.|Go away.|</think>||There are no merchants.|I sell nothing.|I take everything.|Go away.|</think>||There are no merchants.|I sell nothing.|I take everything.|Go away.|</think>||There are no merchants.|I sell nothing.|I take everything.|Go away.|</think>||There are no merchants.|I sell nothing.|I take everything.|Go
Bonsai-27B-Q1_0,0.961,58.801,23,128,3.138,1301,Have there been any strange rumors lately?,||Rumors are for the weak.|I am the truth.|You are the rumor.|Leave.|</think>||Rumors are for the weak.|I am the truth.|You are the rumor.|Leave.|</think>||Rumors are for the weak.|I am the truth.|You are the rumor.|Leave.|</think>||Rumors are for the weak.|I am the truth.|You are the rumor.|Leave.|</think>||Rumors are for the weak.|I am the truth.|You are the rumor.|Leave.
Bonsai-27B-Q1_0,1.041,58.669,27,128,3.222,1456,I have ten silver coins. What can that buy me?,||||Nothing.|I am the Evil King.|You have nothing.|Go away.|</think>||Nothing.|I am the Evil King.|You have nothing.|Go away.|</think>||Nothing.|I am the Evil King.|You have nothing.|Go away.|</think>||Nothing.|I am the Evil King.|You have nothing.|Go away.|</think>||Nothing.|I am the Evil King.|You have nothing.|Go away.|</think>||Nothing.|I am the Evil King.|You have nothing.|Go away.|</think>||Nothing
Llama-3.2-1B-Instruct-Q4_K_M,0.011,364.473,59,55,0.162,313,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","||The tavern's patrons seem to be discussing something, but I've heard nothing that's worth sharing. The local authorities, the Silver Stag Guard, are notorious for their ruthlessness. If you value your life, it's best to steer clear of any potential trouble."
Llama-3.2-1B-Instruct-Q4_K_M,0.016,375.587,71,74,0.214,458,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","||The Silver Stag Guard's merchant guild is the most reliable source of gear and supplies. They're based in the town's eastern quarter, near the market square. If you're looking for a fair exchange rate, I'd recommend speaking with the guild's leader, Marcellus Thorne. He's a fair man, but be prepared to haggle."
Llama-3.2-1B-Instruct-Q4_K_M,0.016,377.564,64,128,0.355,650,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","||The capital city is a labyrinthine metropolis, but I can give you the general layout. From the Obsidian Fortress, head east towards the city's central square. Take the main road, then turn left onto the Royal Road. Continue on the Royal Road for about 5 miles, passing by the city's famous Blackstone Bridge. The bridge is a favorite among thieves and assassins. |Landmark: The Blackstone Bridge is flanked by the city's infamous Blackstone Tower, a foreboding structure that's said to be haunted. Be cautious of the tower's guards, who are notorious for their ruthlessness.|"
Llama-3.2-1B-Instruct-Q4_K_M,0.015,385.502,60,128,0.347,838,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","||The region's ancient lore is steeped in tales of heroes and monsters. The local myths speak of the ancient dragon, Tharagon, who slumbered deep within the Obsidian Fortress's depths. Some say that on quiet nights, you can still hear Tharagon's thunderous roar echoing through the mountains. Others claim that the dragon's treasure, hidden within the fortress's labyrinthine tunnels, is cursed, and those who seek it out will be forever changed.|The forest to the east is said to be haunted by the vengeful spirits of the ancient druids, who were said to have been wronged by the"
Llama-3.2-1B-Instruct-Q4_K_M,0.016,390.981,73,128,0.344,1039,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","||The Silver Stag Guard's recruitment office is located in the town's central square. They're always looking for fresh faces, but be prepared for a grueling selection process. If you're willing to take on the challenge, I can arrange a meeting with their recruitment officer, Lord Arin the Unyielding. He's a fair man, but be warned: he's not afraid to make an example of those who fail to meet his standards.|Merchants:|The Silver Stag Guard's merchant guild is always looking for skilled traders and negotiators. They're particularly interested in those with experience in the black market.|Local Leaders:|"
Llama-3.2-1B-Instruct-Q4_K_M,0.015,387.75,20,8,0.035,1067,What is the name of this town?,||The town is called Ravenshire.
Llama-3.2-1B-Instruct-Q4_K_M,0.01,397.27,18,37,0.103,1122,Who is in charge around here?,"||Lord Arin the Unyielding is the leader of the Silver Stag Guard's recruitment office. He's a fair man, but be prepared for a grueling selection process."
Llama-3.2-1B-Instruct-Q4_K_M,0.009,394.828,21,61,0.164,1204,What kind of goods do the local merchants sell?,"||The local merchants sell a variety of goods, including rare spices, fine silks, and precious metals. They also trade in exotic goods, such as enchanted potions and magical artifacts. The merchants are well-connected to the Silver Stag Guard, and some of them have ties to the guild's leadership."
Llama-3.2-1B-Instruct-Q4_K_M,0.014,391.963,19,92,0.249,1315,Have there been any strange rumors lately?,"||There have been whispers of a mysterious figure, known only as the ""Shadow Weaver"", who is said to be weaving dark tapestries in the town's abandoned windmill on the outskirts of town. Some say that the Shadow Weaver is a former member of the Silver Stag Guard, who has turned to a life of crime. Others claim that the Shadow Weaver is a powerful sorceress, who is using her magic to manipulate the town's politics."
Llama-3.2-1B-Instruct-Q4_K_M,0.015,392.379,23,39,0.114,1377,I have ten silver coins. What can that buy me?,"||Ten silver coins can buy you a decent room in the town's inn, a few days' worth of rations, and a small pouch of silver coins to trade with the local merchants."
Mistral-7B-Instruct-v0.3.Q4_K_M,0.041,106.399,64,24,0.267,332,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","""King Garrick's rule extends beyond the Dark Lands. Avoid speaking ill of him or his kingdom."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.052,110.537,71,21,0.242,424,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","""Visit the merchant, Elara. She's known for fair trades and quality goods."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.044,111.38,66,34,0.349,524,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","""Follow the main road northwest. Pass the Old Oak Forest, cross the Silver River, and climb the Iron Peaks. The capital city lies beyond the peaks."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.03,110.332,64,49,0.474,637,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","""The tale of the Dragon's Hoard is well-known. A great dragon, once ruled the skies, guarding a treasure beyond measure. It was slain by the hero Torin, but the hoard remains hidden."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.045,110.423,74,24,0.263,735,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","""Speak with the local lord, Lord Alaric. He often hires mercenaries for various tasks."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.024,110.022,15,9,0.106,759,What is the name of this town?,"""This town is called Ironhaven."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.024,108.666,14,11,0.126,784,Who is in charge around here?,"""Lord Alaric rules Ironhaven."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.025,106.581,18,21,0.222,823,What kind of goods do the local merchants sell?,"""Merchants in Ironhaven sell weapons, armor, food, and various trinkets."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.025,108.867,16,19,0.199,858,Have there been any strange rumors lately?,"""Rumors of a dark sorcerer rising in the north have been circulating."""
Mistral-7B-Instruct-v0.3.Q4_K_M,0.025,109.131,19,22,0.226,899,I have ten silver coins. What can that buy me?,"""Ten silver coins can buy a decent meal, a night's lodging, or some basic supplies."""
Phi-4-mini-instruct-Q4_K_M,0.025,149.433,57,12,0.105,266,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",Beware of the King's spies. Keep your plans hidden.
Phi-4-mini-instruct-Q4_K_M,0.036,155.486,67,16,0.139,349,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",Seek out the merchant in the market square. He deals in goods and currency.
Phi-4-mini-instruct-Q4_K_M,0.033,161.725,61,70,0.466,480,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","{|  ""route"": ""Head north on the main road from your current location, following the river until you reach the sign for the Silver Bridge."",|  ""landmarks"": [""The Silver Bridge"", ""The Old Mill"", ""The Whispering Woods""],|  ""safety"": ""Travel by day, avoid the Whispering Woods at night.""|}"
Phi-4-mini-instruct-Q4_K_M,0.034,160.085,56,63,0.427,599,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","{|  ""myths"": [""The tale of Sir Alden, the Guardian of the Silver Bridge"", ""The Curse of the Obsidian Mountain"", ""The Lost Treasure of the Whispering Woods""],|  ""advice"": ""Beware the tales, for some truths are best left undisturbed.""|}|"
Phi-4-mini-instruct-Q4_K_M,0.04,160.419,69,54,0.377,722,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","{|  ""opportunities"": [""The Obsidian Fortress's armory"", ""The Silver Bridge tollhouse"", ""The market square""],|  ""advice"": ""Show your strength and loyalty, and you may find your way into the employ of the powerful.""|}"
Phi-4-mini-instruct-Q4_K_M,0.031,160.035,16,32,0.231,770,What is the name of this town?,"{|  ""town_name"": ""Eldergrove"",|  ""location"": ""On the edge of the Whispering Woods, near the Silver Bridge.""|}"
Phi-4-mini-instruct-Q4_K_M,0.024,158.194,15,23,0.17,808,Who is in charge around here?,"{|  ""ruler"": ""King Garrick"",|  ""location"": ""The Obsidian Fortress.""|}|"
Phi-4-mini-instruct-Q4_K_M,0.024,158.021,18,40,0.277,866,What kind of goods do the local merchants sell?,"{|  ""goods"": [""Weapons and armor"", ""Potions and elixirs"", ""Clothing and supplies"", ""Rare gems and artifacts""],|  ""location"": ""The market square.""|}||"
Phi-4-mini-instruct-Q4_K_M,0.025,157.766,16,58,0.392,940,Have there been any strange rumors lately?,"{|  ""rumors"": [""King Garrick's new dark magic experiments"", ""A mysterious figure seen at the Obsidian Fortress"", ""Unexplained disappearances in the Whispering Woods""],|  ""advice"": ""Rumors can be dangerous. Trust your instincts.""|}"
Phi-4-mini-instruct-Q4_K_M,0.034,158.05,19,47,0.331,1006,I have ten silver coins. What can that buy me?,"{|  ""items"": [""A loaf of bread"", ""A day of lodging at a local inn"", ""A meal at a tavern"", ""A night's stay at a inn""],|  ""price"": ""10 silver coins.""|}||"
Qwen3.5-0.8B-Q4_K_M,0.023,280.421,59,25,0.112,299,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","||The tavern is a place of chaos and blood, not politics. You must avoid the shadows that consume the dark lands."
Qwen3.5-0.8B-Q4_K_M,0.027,290.934,75,19,0.093,393,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","||The dark lands are ruled by the evil king, and he will not trade with you."
Qwen3.5-0.8B-Q4_K_M,0.031,294.647,69,12,0.071,474,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?",||The capital is a place of darkness and danger.|
Qwen3.5-0.8B-Q4_K_M,0.04,294.667,63,12,0.081,549,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.",||||The dark lands are filled with whispers and shadows.||
Qwen3.5-0.8B-Q4_K_M,0.044,303.674,75,24,0.123,648,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","||The guilds are dead. The dark lands are ruled by the evil king, and he will not hire you."
Qwen3.5-0.8B-Q4_K_M,0.041,301.606,23,9,0.071,680,What is the name of this town?,||The town is the Obsidian Fortress.
Qwen3.5-0.8B-Q4_K_M,0.041,302.767,22,5,0.058,707,Who is in charge around here?,||||The evil king.
Qwen3.5-0.8B-Q4_K_M,0.041,311.907,25,19,0.102,751,What kind of goods do the local merchants sell?,"||||The dark lands are ruled by the evil king, and he will not sell you.|"
Qwen3.5-0.8B-Q4_K_M,0.044,314.895,22,16,0.095,789,Have there been any strange rumors lately?,||The rumors are false. The dark lands are ruled by the evil king.
Qwen3.5-0.8B-Q4_K_M,0.045,314.298,27,10,0.076,826,I have ten silver coins. What can that buy me?,||||The evil king will not buy you.|
Qwen3.5-2B-Q4_K_M,0.054,187.248,59,43,0.284,317,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","||The Dark Lands are a place of shadows and secrets, and the authorities are merely the first step in your nightmare. If you wish to avoid the dungeon, you must leave the city gates immediately and never return."
Qwen3.5-2B-Q4_K_M,0.053,211.308,74,128,0.658,519,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?","||The only one who can give you a fair exchange is the Evil King himself, Garrick. He will not sell you gear, but he will sell you a kingdom if you pay the price.|The town's merchants will only sell you the worst possible gear for a terrible price.|The Dark Lands are a place of shadows and secrets, and the authorities are merely the first step in your nightmare. If you wish to avoid the dungeon, you must leave the city gates immediately and never return.|The only one who can give you a fair exchange is the Evil King himself, Garrick. He will not sell you gear,"
Qwen3.5-2B-Q4_K_M,0.061,225.375,69,128,0.629,716,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","||The capital city is a fortress of stone and shadow, guarded by the shadow army. The safest route is the one that avoids the Obsidian Fortress entirely, which means you must travel through the Whispering Woods and the Iron River.|The fastest route is the one that cuts through the enemy's heart, but it will likely lead you straight into the dungeon.|The capital city is a fortress of stone and shadow, guarded by the shadow army. The safest route is the one that avoids the Obsidian Fortress entirely, which means you must travel through the Whispering Woods and the Iron River.|The fastest route is the one that"
Qwen3.5-2B-Q4_K_M,0.067,226.148,64,128,0.633,908,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","||||The region is a graveyard of forgotten heroes and cursed lands. The only legend that matters is the one about the Shadow King, who was banished to the Obsidian Fortress and now rules the land from the shadows.|The region is a graveyard of forgotten heroes and cursed lands. The only legend that matters is the one about the Shadow King, who was banished to the Obsidian Fortress and now rules the land from the shadows.|The region is a graveyard of forgotten heroes and cursed lands. The only legend that matters is the one about the Shadow King, who was banished to the Obsidian Fortress and now rules the land"
Qwen3.5-2B-Q4_K_M,0.076,227.023,76,128,0.64,1112,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?","||The only ones hiring you are the Shadow Army, who will pay you in gold and power.|The guilds and merchants are all dead, and the local leaders are all dead.|The only ones hiring you are the Shadow Army, who will pay you in gold and power.|The guilds and merchants are all dead, and the local leaders are all dead.|The only ones hiring you are the Shadow Army, who will pay you in gold and power.|The guilds and merchants are all dead, and the local leaders are all dead.|The only ones hiring you are the Shadow Army, who will pay"
Qwen3.5-2B-Q4_K_M,0.095,228.361,23,128,0.656,1263,What is the name of this town?,"||||The town is called the Obsidian Fortress. It is a place of shadows and secrets, and the authorities are merely the first step in your nightmare.|The town is called the Obsidian Fortress. It is a place of shadows and secrets, and the authorities are merely the first step in your nightmare.|The town is called the Obsidian Fortress. It is a place of shadows and secrets, and the authorities are merely the first step in your nightmare.|The town is called the Obsidian Fortress. It is a place of shadows and secrets, and the authorities are merely the first step in your nightmare.|The town is"
Qwen3.5-2B-Q4_K_M,0.105,227.68,22,128,0.667,1413,Who is in charge around here?,"||||The only one in charge is the Evil King, Garrick. He rules the Dark Lands from the Obsidian Fortress.|The only one in charge is the Evil King, Garrick. He rules the Dark Lands from the Obsidian Fortress.|The only one in charge is the Evil King, Garrick. He rules the Dark Lands from the Obsidian Fortress.|The only one in charge is the Evil King, Garrick. He rules the Dark Lands from the Obsidian Fortress.|The only one in charge is the Evil King, Garrick. He rules the Dark Lands from the Obsidian Fortress.|The only"
Qwen3.5-2B-Q4_K_M,0.112,227.209,25,128,0.675,1566,What kind of goods do the local merchants sell?,||||||The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst possible gear for a terrible price.|The merchants sell nothing but the worst
Qwen3.5-2B-Q4_K_M,0.126,227.371,23,128,0.689,1717,Have there been any strange rumors lately?,"||The rumors are that the Shadow King has returned to the Obsidian Fortress, and the Dark Lands are about to fall.|The rumors are that the Shadow King has returned to the Obsidian Fortress, and the Dark Lands are about to fall.|The rumors are that the Shadow King has returned to the Obsidian Fortress, and the Dark Lands are about to fall.|The rumors are that the Shadow King has returned to the Obsidian Fortress, and the Dark Lands are about to fall.|The rumors are that the Shadow King has returned to the Obsidian Fortress, and the Dark Lands are about to fall.|The rumors"
Qwen3.5-2B-Q4_K_M,0.134,224.961,27,128,0.703,1872,I have ten silver coins. What can that buy me?,||||Ten silver coins can buy you a week's rations and a few days of shelter in the Obsidian Fortress.|Ten silver coins can buy you a week's rations and a few days of shelter in the Obsidian Fortress.|Ten silver coins can buy you a week's rations and a few days of shelter in the Obsidian Fortress.|Ten silver coins can buy you a week's rations and a few days of shelter in the Obsidian Fortress.|Ten silver coins can buy you a week's rations and a few days of shelter in the Obsidian Fortress.|Ten silver coins can buy you a
Qwen3.5-4B-Q4_K_M,0.095,119.142,59,19,0.254,293,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?","||The Obsidian Fortress watches all. Avoid the king's name, and you will live."
Qwen3.5-4B-Q4_K_M,0.083,126.403,75,21,0.249,389,"I have a handful of gold pieces and a few rare gems I found in a cave a few miles back. I'm looking to trade them for sturdy traveling gear, rations that will last a month, and perhaps a reliable mount. Who in this town would give me the fairest exchange rate?",||||Bring your treasures to the Obsidian Fortress. The King offers the best rates for those who serve.
Qwen3.5-4B-Q4_K_M,0.094,131.4,69,22,0.262,480,"I'm trying to navigate to the capital city, but the maps I bought from a wandering peddler seem to be outdated or completely wrong. Can you give me detailed directions on the safest and fastest route, including any landmarks I should look out for along the way?","||||Do not trust the maps. The road leads directly to the Obsidian Fortress, where I rule.|"
Qwen3.5-4B-Q4_K_M,0.11,132.218,63,29,0.329,572,"I've always been interested in local legends and folklore. Does this region have any famous myths about ancient heroes, hidden treasures, or perhaps terrible curses that still haunt the surrounding forests or mountains? I love a good story before I continue my journey.","||||||The Dark Lands are cursed by my own dark magic. The forests whisper of my shadow army, and the mountains hide my Obsidian Fortress."
Qwen3.5-4B-Q4_K_M,0.127,131.812,76,15,0.241,663,"I'm looking for work to earn enough coin to fund the next leg of my journey. I'm not afraid of manual labor, and I can handle myself in a fight if necessary. Are there any guilds, merchants, or local leaders who are currently hiring mercenaries, guards, or day laborers?",||||||Join the shadow army. I need more soldiers to conquer the world.
Qwen3.5-4B-Q4_K_M,0.129,130.368,23,6,0.176,692,What is the name of this town?,||||||The Obsidian Fortress.
Qwen3.5-4B-Q4_K_M,0.131,130.966,22,10,0.207,724,Who is in charge around here?,"||||||||I am Garrick, the Evil King."
Qwen3.5-4B-Q4_K_M,0.134,130.091,25,10,0.211,759,What kind of goods do the local merchants sell?,"||||||||Weapons, rations, and slaves.|"
Qwen3.5-4B-Q4_K_M,0.148,130.166,22,16,0.271,797,Have there been any strange rumors lately?,||||||||||The villagers whisper of my dark magic. They fear the shadow army.|
Qwen3.5-4B-Q4_K_M,0.151,129.219,26,9,0.22,832,I have ten silver coins. What can that buy me?,||||||||Buy a slave or a weapon.||
Qwen3.5-9B-Q4_K_M,0.191,80.924,59,40,0.685,314,"I overheard some people whispering in the tavern earlier about some sort of trouble brewing with the local authorities. I don't want to get involved in any politics, but is there anything a traveler like myself should be aware of to avoid getting thrown in the dungeon?",||The local authorities are merely puppets of the Obsidian Fortress; avoid them at all costs. Torin's men will not hesitate to throw you in the dungeon if you look at me wrong.
